ROI,Frame,Wavelength,Row,Column,Intensity,Exposure started time stamp,Exposure ended time stamp
1,1,500.51635559338729,0,106,16,N/A,N/A
1,1,500.64214695451068,0,107,16,N/A,N/A
1,1,500.76793363750755,0,108,13,N/A,N/A
1,1,500.89371564019052,0,109,7,N/A,N/A
1,1,501.01949296037185,0,110,14,N/A,N/A
1,1,501.14526559586483,0,111,15,N/A,N/A
1,1,501.27103354448258,0,112,12,N/A,N/A
1,1,501.39679680403879,0,113,12,N/A,N/A
1,1,501.52255537234754,0,114,7,N/A,N/A
1,1,501.64830924722332,0,115,16,N/A,N/A
1,1,501.77405842648062,0,116,15,N/A,N/A
1,1,501.89980290793477,0,117,14,N/A,N/A
1,1,502.02554268940094,0,118,14,N/A,N/A
1,1,502.15127776869525,0,119,9,N/A,N/A
1,1,502.27700814363351,0,120,15,N/A,N/A
1,1,502.40273381203247,0,121,15,N/A,N/A
1,1,502.52845477170877,0,122,9,N/A,N/A
1,1,502.65417102047974,0,123,19,N/A,N/A
1,1,502.77988255616293,0,124,11,N/A,N/A
1,1,502.90558937657624,0,125,12,N/A,N/A
1,1,503.03129147953786,0,126,13,N/A,N/A
1,1,503.15698886286651,0,127,12,N/A,N/A
1,1,503.282681524381,0,128,16,N/A,N/A
1,1,503.4083694619008,0,129,12,N/A,N/A
1,1,503.53405267324564,0,130,11,N/A,N/A
1,1,503.65973115623541,0,131,11,N/A,N/A
1,1,503.7854049086904,0,132,11,N/A,N/A
1,1,503.91107392843168,0,133,8,N/A,N/A
1,1,504.03673821328016,0,134,11,N/A,N/A
1,1,504.16239776105721,0,135,16,N/A,N/A
1,1,504.28805256958475,0,136,11,N/A,N/A
1,1,504.413702636685,0,137,15,N/A,N/A
1,1,504.53934796018035,0,138,14,N/A,N/A
1,1,504.66498853789381,0,139,12,N/A,N/A
1,1,504.79062436764849,0,140,9,N/A,N/A
1,1,504.91625544726804,0,141,15,N/A,N/A
1,1,505.04188177457638,0,142,16,N/A,N/A
1,1,505.16750334739794,0,143,14,N/A,N/A
1,1,505.29312016355715,0,144,14,N/A,N/A
1,1,505.41873222087924,0,145,6,N/A,N/A
1,1,505.54433951718948,0,146,13,N/A,N/A
1,1,505.66994205031358,0,147,17,N/A,N/A
1,1,505.79553981807777,0,148,20,N/A,N/A
1,1,505.92113281830831,0,149,18,N/A,N/A
1,1,506.04672104883213,0,150,17,N/A,N/A
1,1,506.17230450747638,0,151,14,N/A,N/A
1,1,506.29788319206864,0,152,16,N/A,N/A
1,1,506.42345710043668,0,153,11,N/A,N/A
1,1,506.54902623040891,0,154,9,N/A,N/A
1,1,506.67459057981358,0,155,16,N/A,N/A
1,1,506.80015014648012,0,156,14,N/A,N/A
1,1,506.92570492823751,0,157,10,N/A,N/A
1,1,507.05125492291552,0,158,11,N/A,N/A
1,1,507.17680012834427,0,159,10,N/A,N/A
1,1,507.302340542354,0,160,11,N/A,N/A
1,1,507.4278761627757,0,161,14,N/A,N/A
1,1,507.55340698744027,0,162,14,N/A,N/A
1,1,507.67893301417939,0,163,13,N/A,N/A
1,1,507.80445424082473,0,164,9,N/A,N/A
1,1,507.92997066520854,0,165,16,N/A,N/A
1,1,508.05548228516335,0,166,7,N/A,N/A
1,1,508.18098909852222,0,167,8,N/A,N/A
1,1,508.30649110311833,0,168,13,N/A,N/A
1,1,508.43198829678522,0,169,14,N/A,N/A
1,1,508.55748067735715,0,170,16,N/A,N/A
1,1,508.68296824266838,0,171,12,N/A,N/A
1,1,508.80845099055358,0,172,15,N/A,N/A
1,1,508.933928918848,0,173,20,N/A,N/A
1,1,509.05940202538693,0,174,12,N/A,N/A
1,1,509.18487030800628,0,175,14,N/A,N/A
1,1,509.31033376454218,0,176,15,N/A,N/A
1,1,509.43579239283122,0,177,15,N/A,N/A
1,1,509.56124619071028,0,178,12,N/A,N/A
1,1,509.68669515601681,0,179,14,N/A,N/A
1,1,509.81213928658809,0,180,14,N/A,N/A
1,1,509.93757858026248,0,181,14,N/A,N/A
1,1,510.06301303487805,0,182,7,N/A,N/A
1,1,510.18844264827385,0,183,18,N/A,N/A
1,1,510.31386741828862,0,184,13,N/A,N/A
1,1,510.43928734276204,0,185,12,N/A,N/A
1,1,510.56470241953389,0,186,16,N/A,N/A
1,1,510.69011264644433,0,187,15,N/A,N/A
1,1,510.815518021334,0,188,5,N/A,N/A
1,1,510.94091854204373,0,189,9,N/A,N/A
1,1,511.0663142064148,0,190,12,N/A,N/A
1,1,511.19170501228893,0,191,15,N/A,N/A
1,1,511.31709095750813,0,192,11,N/A,N/A
1,1,511.44247203991461,0,193,11,N/A,N/A
1,1,511.56784825735139,0,194,11,N/A,N/A
1,1,511.69321960766126,0,195,9,N/A,N/A
1,1,511.818586088688,0,196,14,N/A,N/A
1,1,511.94394769827534,0,197,12,N/A,N/A
1,1,512.06930443426745,0,198,13,N/A,N/A
1,1,512.194656294509,0,199,14,N/A,N/A
1,1,512.32000327684477,0,200,16,N/A,N/A
1,1,512.44534537912034,0,201,12,N/A,N/A
1,1,512.570682599181,0,202,13,N/A,N/A
1,1,512.69601493487335,0,203,14,N/A,N/A
1,1,512.82134238404319,0,204,14,N/A,N/A
1,1,512.94666494453782,0,205,14,N/A,N/A
1,1,513.0719826142041,0,206,7,N/A,N/A
1,1,513.19729539088962,0,207,14,N/A,N/A
1,1,513.32260327244239,0,208,11,N/A,N/A
1,1,513.44790625671033,0,209,10,N/A,N/A
